comment,cleaned_comment,sentiment
So basically your saying that the movie will be realistic,so basically your saying that the movie will be realistic,Positive
cry,cry,Neutral
"…ok fine, I’ll watch it!! 😂🎉",ok fine ill watch it ,Positive
It also seems scary similar to the movie Driven with Stalon just better camera work,it also seems scary similar to the movie driven with stalon just better camera work,Neutral
Mazepin vs a straight line,mazepin vs a straight line,Positive
Still going to watch,still going to watch,Neutral
I still miss the flashback from BRAWN GP 2009 btw.😢,i still miss the flashback from brawn gp 2009 btw,Neutral
It's just gonna be fan service anyways. Hardly any new story.,its just gonna be fan service anyways hardly any new story,Negative
"No, it looks like top gun on 4 wheels.",no it looks like top gun on 4 wheels,Positive
There's a CAMEL cockpit. Like in the 80's,theres a camel cockpit like in the 80s,Neutral
This movie looks like a remake of driven. 🙄,this movie looks like a remake of driven ,Neutral
We also got 2021 Abu Dhabi,we also got 2021 abu dhabi,Neutral
This film is an equivalent of a summer pop hit,this film is an equivalent of a summer pop hit,Neutral
"F1 movie
Not bad movie👎👎","f1 movie
not bad movie",Positive
I didnt even see him. Where was he?,i didnt even see him where was he,Neutral
 @hira1904  I want ro know too!, hira1904  i want ro know too,Neutral
 @hira1904 he was on previous trailer, hira1904 he was on previous trailer,Negative
i hear it in the distance,i hear it in the distance,Neutral
Leonel Messi,leonel messi,Neutral
role goes to.... lisan algaib!,role goes to lisan algaib,Neutral
 @hira1904  you can see them in the teaser trailer., hira1904  you can see them in the teaser trailer,Neutral
"“Hi Gene, I got a fokin Oscar you know”",hi gene i got a fokin oscar you know,Neutral
 @DrPharmetheus 😂, drpharmetheus ,Neutral
😀 Hahahaha!!! You literally made me spit my coffee out a bit., hahahaha you literally made me spit my coffee out a bit,Positive
he is just farking vanker,he is just farking vanker,Neutral
 @hira1904  he was in the 1st trailer, hira1904  he was in the 1st trailer,Neutral
Oscar should go to Oscar.,oscar should go to oscar,Neutral
"And he starts his acceptace speech with hi gene ""hygiene""",and he starts his acceptace speech with hi gene hygiene,Neutral
Piastri to Steiner 🤔,piastri to steiner ,Neutral
​ @임영권-q3s what, q3s what,Neutral
"you had me in the first half,ngl xD",you had me in the first halfngl xd,Positive
Isn’t Dayton IMSA?,isnt dayton imsa,Neutral
It's IMSA not WEC because he was at Daytona and WEC doesn't race there,its imsa not wec because he was at daytona and wec doesnt race there,Neutral
So 2026 if Audi has a dream start?,so 2026 if audi has a dream start,Neutral
😂😂😂😂 Me too, me too,Neutral
errrm ackshyually thats imsa 🤓,errrm ackshyually thats imsa ,Neutral
It seems like a combination of many stories from the future and the past.,it seems like a combination of many stories from the future and the past,Positive
IMSA my friend! I too will be watching lol,imsa my friend i too will be watching lol,Positive
So basically Cadillac prologue,so basically cadillac prologue,Neutral
"@ looks like Sonny will be racing GTD(3) machinery, rather than prototypes", looks like sonny will be racing gtd3 machinery rather than prototypes,Neutral
Definitely not winning it All 😅,definitely not winning it all ,Negative
@ Yeah he's in the Geico Porsche, yeah hes in the geico porsche,Neutral
What you've wrote could basically be a plot for another Kubica return :D,what youve wrote could basically be a plot for another kubica return d,Neutral
You just literally made up half of that. Nowhere in the trailer did they say they won the titles,you just literally made up half of that nowhere in the trailer did they say they won the titles,Negative
Bro the crazy part here is that Hayes's time in F1 goes back to 1990.,bro the crazy part here is that hayess time in f1 goes back to 1990,Negative
RObert Kubica : D,robert kubica  d,Neutral
It's basically the build a team mode from the F1 games,its basically the build a team mode from the f1 games,Neutral
Actually IMSA not WEC given Daytona,actually imsa not wec given daytona,Neutral
lol,lol,Positive
" @zagat2 they are winning at least some stuff, in Vegas wasnt brad Pitt on the top step of the podium after? He’s been on the podium multiple times", zagat2 they are winning at least some stuff in vegas wasnt brad pitt on the top step of the podium after hes been on the podium multiple times,Positive
"According to the trailer, he has never been a F1 racer.",according to the trailer he has never been a f1 racer,Neutral
IMSA**,imsa,Neutral
daytona isn’t WEC,daytona isnt wec,Neutral
"Yep, first 10 seconds. Snore",yep first 10 seconds snore,Positive
Nah it' will probably be about who scores the first point because they are keeping it realistic lolz.,nah it will probably be about who scores the first point because they are keeping it realistic lolz,Positive
"that's IMSA, not WEC bro. Also Javier's character says 'a gambler who missed his shot, the best there never was' which probably means Pitt's character never raced in F1 (but got close) and now gets his opportunity.",thats imsa not wec bro also javiers character says a gambler who missed his shot the best there never was which probably means pitts character never raced in f1 but got close and now gets his opportunity,Positive
"It's IMSA, not WEC. And he drove a GT3 car, if them footage says anything",its imsa not wec and he drove a gt3 car if them footage says anything,Neutral
You mean IMSA right?,you mean imsa right,Negative
You should have put the word [SPOILERS] in brackets as the lead in.,you should have put the word spoilers in brackets as the lead in,Neutral
"not really wec, imsa",not really wec imsa,Negative
Are you trying to claim that this movie will be predictable and that we will know every story beat before it happens because we have seen it so many times before? How dare you sir haha. Spot on.,are you trying to claim that this movie will be predictable and that we will know every story beat before it happens because we have seen it so many times before how dare you sir haha spot on,Positive
Lil bro thinks is brawn gp,lil bro thinks is brawn gp,Neutral
So basically Fernando's career,so basically fernandos career,Neutral
Realistic like DTS.,realistic like dts,Positive
Don't,dont,Neutral
Imsa*,imsa,Neutral
"They're not gonna win bc they have to set up a sequel. Please believe they're gonna setup a sequel. ""Run it back?"" type moment at the end",theyre not gonna win bc they have to set up a sequel please believe theyre gonna setup a sequel run it back type moment at the end,Positive
"Pathetic, ain't it?!",pathetic aint it,Negative
Basically Brawn GP 2.0,basically brawn gp 20,Neutral
Just came back from watching it. Didn’t happen.,just came back from watching it didnt happen,Neutral
*never waas,never waas,Neutral
William Shatner song.,william shatner song,Neutral
Sorry for asking this. What reference is from?,sorry for asking this what reference is from,Negative
"​ @azj_ Haas is one of the F1 teams.  Currently, Esteban Ocon and Oliver Bearman race for them", azj haas is one of the f1 teams  currently esteban ocon and oliver bearman race for them,Neutral
😂,,Neutral
I need to see how sonny gonna beat verstappen. That should be peak.,i need to see how sonny gonna beat verstappen that should be peak,Neutral
fr,fr,Neutral
 @danishirfan2349  making history 😆 atleast soneone beat him after 4 years, danishirfan2349  making history  atleast soneone beat him after 4 years,Neutral
Nah  just wait for  happy Gilmore 2 lol,nah  just wait for  happy gilmore 2 lol,Positive
" @ryliwinters  guenther steiner already shown, loved it", ryliwinters  guenther steiner already shown loved it,Positive
hahahaa. this is so true. i was doing that the whole trailer,hahahaa this is so true i was doing that the whole trailer,Positive
 @danishirfan2349  absolute cinemaaa, danishirfan2349  absolute cinemaaa,Positive
" @danishirfan2349  Fair probably, thats not a thing verstappen can^^", danishirfan2349  fair probably thats not a thing verstappen can,Positive
yes,yes,Neutral
just for Gunther lol,just for gunther lol,Positive
 @danishirfan2349  apparently in the RB19 too..., danishirfan2349  apparently in the rb19 too,Positive
"i remember a very old movie with stallone, and i was like that, trying to watch the real drivers, they were in scene like 2 seconds hhahah",i remember a very old movie with stallone and i was like that trying to watch the real drivers they were in scene like 2 seconds hhahah,Positive
"WHERE IS MAX!?! WHERE IS HE!?!
Oh wait, up front","where is max where is he
oh wait up front",Neutral
@The_Abelist  he still didnt amke it to the podium with sonny... lol it was george n charles i think,theabelist  he still didnt amke it to the podium with sonny lol it was george n charles i think,Positive
We did that in the 1960s with Grand Prix and again in the 1970s in Le Mans.,we did that in the 1960s with grand prix and again in the 1970s in le mans,Positive
That's why I wanna watch this tbh😂 esp how they are gonna beat max,thats why i wanna watch this tbh esp how they are gonna beat max,Neutral
Exactly!!,exactly,Positive
Dont forget rtl expert 😂,dont forget rtl expert ,Neutral
 @rockvettel7497  And also German SS commander during World War II :), rockvettel7497  and also german ss commander during world war ii ,Neutral
Is he playing himself in the movie?,is he playing himself in the movie,Neutral
Wait where is he? I couldn’t find him,wait where is he i couldnt find him,Neutral
yeah much better than the current theme!,yeah much better than the current theme,Positive
It was the theme used by the BBC,it was the theme used by the bbc,Neutral
 @OptionalNoneYT  Why so rude I said for people that didn't know, optionalnoneyt  why so rude i said for people that didnt know,Negative
 @Drew63  Oh yeah I forgot about that detail thanks for reminding me, drew63  oh yeah i forgot about that detail thanks for reminding me,Positive
"Oh wow great catch! I didn’t know but I looked the song up and BOOM flood of memories. It was BBC’s intro to F1 though, not F1’s own intro. Whatever still awesome connection.",oh wow great catch i didnt know but i looked the song up and boom flood of memories it was bbcs intro to f1 though not f1s own intro whatever still awesome connection,Positive
long time fans will definitely know,long time fans will definitely know,Negative
Came to say this. I guess they will use that part as background music in the movie.,came to say this i guess they will use that part as background music in the movie,Neutral
"Love the song and everything F1 used to be, not what it is now. I'd also venture a guess that like most other recent Hollywood movies the driving scenes will be ruined by sound mixing, and 100's of shots of the driver figuring out that they can go from half gas to full throttle in order to pass (No clutch, so at least they won't miss out on showing a proper heal-toe shift, which was so cringingly absent in Lauda/hunt and F vs F).",love the song and everything f1 used to be not what it is now id also venture a guess that like most other recent hollywood movies the driving scenes will be ruined by sound mixing and 100s of shots of the driver figuring out that they can go from half gas to full throttle in order to pass no clutch so at least they wont miss out on showing a proper healtoe shift which was so cringingly absent in laudahunt and f vs f,Positive
"From the late 70's thru 90's,  and then again until it left BBC",from the late 70s thru 90s  and then again until it left bbc,Negative
"The BBC theme tune. So, that means it's the best choice only for British viewers. For the rest of the world it has no meaning.",the bbc theme tune so that means its the best choice only for british viewers for the rest of the world it has no meaning,Positive
"Thats so interesting, Thanks for letting us know,  i actually didn't know that 👍🙏",thats so interesting thanks for letting us know  i actually didnt know that ,Positive
Whotf is zimmer,whotf is zimmer,Neutral
yup! his ost for rush was phenomenal. High hopes for this one too,yup his ost for rush was phenomenal high hopes for this one too,Positive
 @baker1352  greatest film composer of this generation, baker1352  greatest film composer of this generation,Positive
@ Hans Zimmer, hans zimmer,Neutral
"Hans Zimmerman is awesome. In my opinion the best movie soundtrack composer of all time. Composed themes for Top Gun: Maverick, Inception, Man of Steel, Pirates of the Caribbean…. The guy’s a legend for the ones who pay attention to original movie scores.",hans zimmerman is awesome in my opinion the best movie soundtrack composer of all time composed themes for top gun maverick inception man of steel pirates of the caribbean the guys a legend for the ones who pay attention to original movie scores,Positive
 @baker1352  🤣, baker1352  ,Neutral
havent seen f1 with the chain for ages it just feels right,havent seen f1 with the chain for ages it just feels right,Positive
A legend,a legend,Neutral
"Also John Powell but, Zimmer is the top of tops composer!",also john powell but zimmer is the top of tops composer,Positive
 @baker1352  A human being that elevates our race by each composition he makes, baker1352  a human being that elevates our race by each composition he makes,Neutral
 @baker1352  bro don't disrespect hans zimmer, baker1352  bro dont disrespect hans zimmer,Neutral
 @Movies-k3y  for me personally the best film composer to date has to be John Williams 🙌🏼, moviesk3y  for me personally the best film composer to date has to be john williams ,Positive
Oh okay that maybe it’s saving grace.,oh okay that maybe its saving grace,Positive
​ @SlowRideTy Doesn't beat JW in my opinion, slowridety doesnt beat jw in my opinion,Neutral
 @baker1352  the greatest film composer oat, baker1352  the greatest film composer oat,Positive
 @SlowRideTy *of all time, slowridety of all time,Neutral
I'm surprised so many missed that lol need a Zimmer F1 theme song now lol,im surprised so many missed that lol need a zimmer f1 theme song now lol,Positive
​@MovieMisc2how are you just gonna leave out lion king like that😩😩,moviemisc2how are you just gonna leave out lion king like that,Neutral
 @baker1352  go back to sleep, baker1352  go back to sleep,Neutral
 @baker1352 Are you little behind?? 😅, baker1352 are you little behind ,Negative
" @MartyhaanMusic can’t go wrong with that one. Williams is on mount Rushmore for sure. 
He, Hans, Danny elfman, and maybe someone like James newton Howard are on there."," martyhaanmusic cant go wrong with that one williams is on mount rushmore for sure 
he hans danny elfman and maybe someone like james newton howard are on there",Neutral
@MovieMisc2 Gladiator! Gotta include this in the list! Especially the musical score during “my name is Maximus Decimus Meridius”,moviemisc2 gladiator gotta include this in the list especially the musical score during my name is maximus decimus meridius,Neutral
​@MovieMisc2John Williams is better,moviemisc2john williams is better,Positive
" @baker1352  educate yourself, it is free", baker1352  educate yourself it is free,Positive
Hans Zimmer has been the king of generic and uninteresting for thirty years now. When are we going to let him off the hook? His scores are so bland and unimaginative.,hans zimmer has been the king of generic and uninteresting for thirty years now when are we going to let him off the hook his scores are so bland and unimaginative,Negative
he composed the music for interstellar,he composed the music for interstellar,Neutral
 @baker1352  shame on you brooski, baker1352  shame on you brooski,Neutral
 @SlowRideTy of all time fugg it, slowridety of all time fugg it,Neutral
Not true!  There's a lot that we did not see.,not true  theres a lot that we did not see,Negative
He asked Hamilton to help him choose the music,he asked hamilton to help him choose the music,Neutral
"That movie is dope, criminally underrated.",that movie is dope criminally underrated,Negative
Grand Prix.,grand prix,Positive
 @macattack597  Youngsters won't remember it., macattack597  youngsters wont remember it,Neutral
Chris Hemsworth best role by miles,chris hemsworth best role by miles,Positive
Remove the vulgarity and ofc it's the best. But don't forget Ford V Ferrari.,remove the vulgarity and ofc its the best but dont forget ford v ferrari,Positive
Not anymore.,not anymore,Neutral
prolly the only time we’ll hear the us anthem behind the podium,prolly the only time well hear the us anthem behind the podium,Negative
0:06 Oh hey it's us 😁,006 oh hey its us ,Neutral
"bruh, so basiclly if james hunt were still alive and returned to f1 during the start of the v6 era.",bruh so basiclly if james hunt were still alive and returned to f1 during the start of the v6 era,Positive
"Been following F1 all my life, just wonderful film.  Everything you could want in a racing picture,   2 thumbs up, the reclining seats were awesome too.",been following f1 all my life just wonderful film  everything you could want in a racing picture   2 thumbs up the reclining seats were awesome too,Positive
2:26 Lewis is producing it? We all know who will be the villain then 😂,226 lewis is producing it we all know who will be the villain then ,Neutral
"Using ""The Chain"" for the trailer is is great.  Loved the old BBC intro",using the chain for the trailer is is great  loved the old bbc intro,Positive
"Each driver at the end of the movie says in unison: ""Together, we are F1""
Then, a Formula 1 car passes  just right next to the camera at full speed and the credits start rolling along with The Chain starting to play.
After that, there's a post credits scene where Sonny and Joshua share a drink talking about life after their big rivalry, and they say goodbye with ""See you at the grid""","each driver at the end of the movie says in unison together we are f1
then a formula 1 car passes  just right next to the camera at full speed and the credits start rolling along with the chain starting to play
after that theres a post credits scene where sonny and joshua share a drink talking about life after their big rivalry and they say goodbye with see you at the grid",Positive
The Last Shot was insane 2:18 cant wait for this Movie Man,the last shot was insane 218 cant wait for this movie man,Negative
That shot with the Lotus 102 is already telling us that Sonny probably had a massive shunt in his early career,that shot with the lotus 102 is already telling us that sonny probably had a massive shunt in his early career,Positive
Literally f1 game story campaign,literally f1 game story campaign,Negative
"The part where he says, ""You can be my wingman anytime"" is emotional.",the part where he says you can be my wingman anytime is emotional,Neutral
I was expecting Javier Bardem to say Lisan al-Gaib to Brad Pitt the whole time.,i was expecting javier bardem to say lisan algaib to brad pitt the whole time,Positive
"I know it's an F1 film, but it's neat to see Sportscar racing in this",i know its an f1 film but its neat to see sportscar racing in this,Neutral
Sonny Hayes 2025 WDC,sonny hayes 2025 wdc,Neutral
So basically this is a movie about Fernando Alonso winning the title in 2026 with Newey car?,so basically this is a movie about fernando alonso winning the title in 2026 with newey car,Positive
The story for this movie reminds me of Cars 3.,the story for this movie reminds me of cars 3,Neutral
Using The Chain as the main theme without the bass line is such a cheeky move.,using the chain as the main theme without the bass line is such a cheeky move,Positive
Steiner went from team principal to Netflix series MC to movie star in a matter of a few years.  The true goat of F1.,steiner went from team principal to netflix series mc to movie star in a matter of a few years  the true goat of f1,Positive
The sports car shots were filmed at the 2024 24 Hours of Daytona. I was at the race and saw the camera car on the track!,the sports car shots were filmed at the 2024 24 hours of daytona i was at the race and saw the camera car on the track,Neutral
"“We need to build a car for combat”, still my favorite line",we need to build a car for combat still my favorite line,Positive
You know there's an American world champion right?,you know theres an american world champion right,Positive
 @rhodrage  2! Phil Hill is american as well, rhodrage  2 phil hill is american as well,Neutral
Somewhere Mario Andretti shed a tear 🥲,somewhere mario andretti shed a tear ,Neutral
"it has been almost 50 years since the last time it was played. if you wanna count a grand prix winner born in the US, now we are pushing almost 90 years.",it has been almost 50 years since the last time it was played if you wanna count a grand prix winner born in the us now we are pushing almost 90 years,Positive
" @rhodrage  
In the current seasons?"," rhodrage  
in the current seasons",Neutral
😂😂😂😂Hilarious bru,hilarious bru,Positive
"17 Ugo is starting f3 this year, we might here it again in the near future",17 ugo is starting f3 this year we might here it again in the near future,Positive
And that’s when you know someone doesn’t know the history of F1!,and thats when you know someone doesnt know the history of f1,Neutral
" @yanguskhan8513   Phil Hill won the 1961 Italian Grand Prix, as well as the championship that year. He was born in Miami. Not sure where you got that 90 years number, even if it is 60+ at this point", yanguskhan8513   phil hill won the 1961 italian grand prix as well as the championship that year he was born in miami not sure where you got that 90 years number even if it is 60 at this point,Positive
Well f1 is doing everything to keep America out let us in. And will smash all them weak little teams.,well f1 is doing everything to keep america out let us in and will smash all them weak little teams,Negative
"​ @SurvivalCoreFPS Ugo has not lived up to the initial hype, his results in F4 and Formula Regional aren't screaming ""future F1 driver"" unfortunately. Maybe the bigger cars suit him better though, he is at a disadvantage in the smaller cars since he's so tall.", survivalcorefps ugo has not lived up to the initial hype his results in f4 and formula regional arent screaming future f1 driver unfortunately maybe the bigger cars suit him better though he is at a disadvantage in the smaller cars since hes so tall,Neutral
 @manuelpiston  they literally did the opposite of that, manuelpiston  they literally did the opposite of that,Neutral
"​@manuelpiston  as an American who has loved motorsports my whole life, we would need a few decades at least to catch up. We have very few karting tracks around the country the focus would need to shift from dirt to asphalt racing",manuelpiston  as an american who has loved motorsports my whole life we would need a few decades at least to catch up we have very few karting tracks around the country the focus would need to shift from dirt to asphalt racing,Positive
" @manuelpiston  you’re never smashing McLaren 🇬🇧, Ferrari 🇮🇹, Mercedes 🇩🇪, or Red Bull 🇦🇹.", manuelpiston  youre never smashing mclaren  ferrari  mercedes  or red bull ,Neutral
"There have been several American champions, y’all are obsessed with hating or just jealous. 😂

Edit: People with no plumbing talking smack about the USA is hilarious.","there have been several american champions yall are obsessed with hating or just jealous 

edit people with no plumbing talking smack about the usa is hilarious",Neutral
 @noggin6870  No they’ve been quite literally fighting the entry of several American teams for years., noggin6870  no theyve been quite literally fighting the entry of several american teams for years,Neutral
​ @rhodrage it's almost like... they didn't say there wasn't..., rhodrage its almost like they didnt say there wasnt,Neutral
It's like the  F1 turning point campaign mode.,its like the  f1 turning point campaign mode,Neutral
" @aj897  no reason to be jealous if the UK has 22, Germany has 12, Brazil has 8, Argentina has 5, and Finland, France, the Netherlands, and Austria have 4. The US only has 2 titles.", aj897  no reason to be jealous if the uk has 22 germany has 12 brazil has 8 argentina has 5 and finland france the netherlands and austria have 4 the us only has 2 titles,Neutral
Sargeant was top step of the podium multiple times lol,sargeant was top step of the podium multiple times lol,Positive
"@aj897  they only fought against one, and gladly accepted the one that is currently on the grid, and even heavily encouraged the USGP effort in 2012 that ultimately didn't get off the ground. Their resistance to Andretti had nothing to do with where they were from. The teams didn't want to dilute the finances of the sport by adding another team.",aj897  they only fought against one and gladly accepted the one that is currently on the grid and even heavily encouraged the usgp effort in 2012 that ultimately didnt get off the ground their resistance to andretti had nothing to do with where they were from the teams didnt want to dilute the finances of the sport by adding another team,Positive
​@McLarenMercedes-011 there have been more American drivers in F1 than any other country,mclarenmercedes011 there have been more american drivers in f1 than any other country,Positive
@McLarenMercedes-011 and one of those is arguably the worst World Championship winning driver ever lol,mclarenmercedes011 and one of those is arguably the worst world championship winning driver ever lol,Positive
"@RubensBarrichello.  Technically true because of the Indy 500 being counted as an F1 race for a few years despite pretty much no actual F1 drivers entering it, and no Indy 500 drivers actually racing in grands prix.",rubensbarrichello  technically true because of the indy 500 being counted as an f1 race for a few years despite pretty much no actual f1 drivers entering it and no indy 500 drivers actually racing in grands prix,Positive
 @rhodrage  Probably he only knows the drivers from Netflix lol, rhodrage  probably he only knows the drivers from netflix lol,Positive
Sorry the europoors grade american motorsports like indycar as a joke to the super license system. Maybe that wouldnt be the case.,sorry the europoors grade american motorsports like indycar as a joke to the super license system maybe that wouldnt be the case,Negative
"@noggin6870  what makes someone an actual F1 driver?
They drive in a F1 race and complete at least 1 lap. That's all it takes","noggin6870  what makes someone an actual f1 driver
they drive in a f1 race and complete at least 1 lap thats all it takes",Negative
" @rhodrage  Phil Hill... 'european-american' (brit) with not a single cell in his body of us native americans... Mario Andretti... born in Italy... both great drivers but not american as 2/3rds of the 'USA' population... Fangio, Fittipaldi, Piquet and Senna are the only american F1 champions with american bloodline...", rhodrage  phil hill europeanamerican brit with not a single cell in his body of us native americans mario andretti born in italy both great drivers but not american as 23rds of the usa population fangio fittipaldi piquet and senna are the only american f1 champions with american bloodline,Positive
​ @noggin6870 Keke rosberg is the worst champion. The champion with the lowest win ratio, noggin6870 keke rosberg is the worst champion the champion with the lowest win ratio,Negative
@RubensBarrichello.  Entering the one race a year run under different rules with none of the drivers from the rest of the series doesn't count in any meaningful way. They were F1 drivers in name only because of a bizarre quirk that was rightfully removed. No one reasonable actually counts them.,rubensbarrichello  entering the one race a year run under different rules with none of the drivers from the rest of the series doesnt count in any meaningful way they were f1 drivers in name only because of a bizarre quirk that was rightfully removed no one reasonable actually counts them,Positive
Alright Sandeep settle down,alright sandeep settle down,Negative
" @RubensBarrichello.  What was he doing, sweeping it before the presentation..🧹🤣", rubensbarrichello  what was he doing sweeping it before the presentation,Neutral
@FACELOWNER  Sargeant won the 2022 Formula 2 British GP,facelowner  sargeant won the 2022 formula 2 british gp,Neutral
🤬😭😢,,Neutral
And it is not Bearman or Cadillac on the podium?,and it is not bearman or cadillac on the podium,Neutral
@ but not the big teams? 🤔😂, but not the big teams ,Neutral
Cadillac: Hold my beer.....,cadillac hold my beer,Neutral
 @FACELOWNER  Sargeant won the 2022 Formula 2 British Grand Prix, facelowner  sargeant won the 2022 formula 2 british grand prix,Positive
booo haha,booo haha,Positive
And the first time since Michael Andretti in Monza 1993,and the first time since michael andretti in monza 1993,Positive
 @manuelpiston Cadillac is joining the grid in 2026…wym?, manuelpiston cadillac is joining the grid in 2026wym,Neutral
Last US Born GP winner (sorry Italy/Croatia can technically claim Mario) was Peter Revson 1973 Canadian GP. So 52 years ago.,last us born gp winner sorry italycroatia can technically claim mario was peter revson 1973 canadian gp so 52 years ago,Negative
 @RubensBarrichello. yes and Sarge was the perfect representation of American drivers. There’s no other driver that races in any other of the hundreds of American series that is better than logan sargeant. Excellent logic my friend, rubensbarrichello yes and sarge was the perfect representation of american drivers theres no other driver that races in any other of the hundreds of american series that is better than logan sargeant excellent logic my friend,Positive
 @dogonspeed4966  are you even following the conversation? This seems like a reply taken out of context, dogonspeed4966  are you even following the conversation this seems like a reply taken out of context,Neutral
"@ well this whole thread is being sarcastic about American drivers, and then you’re using sarge as your scapegoat lol. Dude was desperately slow, couldn’t even land an Indycar seat", well this whole thread is being sarcastic about american drivers and then youre using sarge as your scapegoat lol dude was desperately slow couldnt even land an indycar seat,Positive
Weeak little teams? How is thhat going for haas tho?​ @manuelpiston ,weeak little teams how is thhat going for haas tho manuelpiston ,Negative
@dogonspeed4966  the thread is about hearing the star spangled banner behind the podium will only be heard behind the podium. And the context that this is a movie about formula racing is figure I'd go the the most recent example I know. Sure I could choose an American from the numerous other categories. So how about Kyle Larson because he's faster than Max Verstappen,dogonspeed4966  the thread is about hearing the star spangled banner behind the podium will only be heard behind the podium and the context that this is a movie about formula racing is figure id go the the most recent example i know sure i could choose an american from the numerous other categories so how about kyle larson because hes faster than max verstappen,Positive
Phil Hill and Mario Andretti would like to have a word with you,phil hill and mario andretti would like to have a word with you,Neutral
 @yanguskhan8513 . That’s because prior to the internet age we had our own motorsports (which we generously allow others to join in)….F1 was never popular in the US prior to 2018…it’ll take a bit to catch up., yanguskhan8513  thats because prior to the internet age we had our own motorsports which we generously allow others to join inf1 was never popular in the us prior to 2018itll take a bit to catch up,Positive
Americans Drive NASCAR 🤷 just how it is.,americans drive nascar  just how it is,Neutral
 @rhodrage  before most of us were born. The U.S has been garbage in f1 since., rhodrage  before most of us were born the us has been garbage in f1 since,Positive
Netherlands comes through 😂😂😂,netherlands comes through ,Neutral
Love you guys ❤,love you guys ,Positive
IMSA movie when??,imsa movie when,Neutral
can't wait for the 12 hours this weekend :),cant wait for the 12 hours this weekend ,Neutral
As a sports car fan this was probably the most exciting part of the trailer. Love you guys and love the Rolex 24 ♥️,as a sports car fan this was probably the most exciting part of the trailer love you guys and love the rolex 24 ,Positive
When was the last time you were in a film? Oh wait I know “the art of racing in the rain”,when was the last time you were in a film oh wait i know the art of racing in the rain,Neutral
You guys one of the best racing series in the world.,you guys one of the best racing series in the world,Positive
No one cares,no one cares,Neutral
" @yoihenbath  yeah, like you, right? You are the no one.", yoihenbath  yeah like you right you are the no one,Positive
IMSA???,imsa,Neutral
setting the stage for the blockbuster sequel: IMSA,setting the stage for the blockbuster sequel imsa,Neutral
"Hey, it's the better racing series.",hey its the better racing series,Positive
"Oh look, its them",oh look its them,Neutral
who?,who,Neutral
y'all taking notes to also have one? 😊👀,yall taking notes to also have one ,Neutral
CRAZY SHOTSSSSSSSSS,crazy shotsssssssss,Negative
 @imsaofficial  the only bit worth watching lol, imsaofficial  the only bit worth watching lol,Positive
 @yoihenbath the rest of the replies under this say otherwise, yoihenbath the rest of the replies under this say otherwise,Neutral
Wright Motorsports Porsche 911 and Turner Motorsports BMW M4 look so fresh in those shots.,wright motorsports porsche 911 and turner motorsports bmw m4 look so fresh in those shots,Positive
Less charisma than hunt though,less charisma than hunt though,Negative
"nah, hunt won championships. sonny didn't from the looks of it.",nah hunt won championships sonny didnt from the looks of it,Neutral
" @AgastyaSingh  Yeah it seems like he was a big star in the US, be it indy/NASCAR(since he mentioned winning Daytona) but when he got to try out F1 in his youth he failed.", agastyasingh  yeah it seems like he was a big star in the us be it indynascarsince he mentioned winning daytona but when he got to try out f1 in his youth he failed,Neutral
Nah it's more like if Johnny Herbert returned,nah its more like if johnny herbert returned,Positive
 @AgastyaSingh  Hunt was also born in the 1940s while drivers who competed in the 1990s were born in the 60s and 70s., agastyasingh  hunt was also born in the 1940s while drivers who competed in the 1990s were born in the 60s and 70s,Neutral
​ @smokeybandit9760 I would've said JJ Lehto or Eddie Irvine, smokeybandit9760 i wouldve said jj lehto or eddie irvine,Neutral
There's literally an example right at the grid being Alonso.,theres literally an example right at the grid being alonso,Positive
​ @frosthammer917 Sonny won at IMSA., frosthammer917 sonny won at imsa,Neutral
"​ @frosthammer917 you can clearly see him in the trailer standing next to the f1 car in CAMEL livery, so by the looks of it, he flopped because of his lifestyle.", frosthammer917 you can clearly see him in the trailer standing next to the f1 car in camel livery so by the looks of it he flopped because of his lifestyle,Positive
 @greatBLT  sigh, greatblt  sigh,Neutral
Who?,who,Neutral
​ @ZeeshanSutar  max verstappen, zeeshansutar  max verstappen,Neutral
The FIA 👀,the fia ,Neutral
​ @ZeeshanSutar  Max!, zeeshansutar  max,Neutral
Safety car champion of course,safety car champion of course,Neutral
You,you,Neutral
"It will be a combination of Alonso, Verstappen and the FIA who will be the villains.",it will be a combination of alonso verstappen and the fia who will be the villains,Neutral
technical Advisors get producing credit nowadays. I'm sure he helped produce some of the crash and other VFX scene in terms of realism,technical advisors get producing credit nowadays im sure he helped produce some of the crash and other vfx scene in terms of realism,Positive
I heard redbull wouldn’t be apart of it if they were portrayed as the villains,i heard redbull wouldnt be apart of it if they were portrayed as the villains,Neutral
That's why it has so much Bruv speech in it,thats why it has so much bruv speech in it,Positive
Tu tu tu tu 🎶,tu tu tu tu ,Neutral
Massive Masi lol,massive masi lol,Positive
@ Whites, whites,Neutral
​ @ZeeshanSutar  The energy drink team, zeeshansutar  the energy drink team,Neutral
He didn’t write the story or script. He’s making sure it sounds and looks as real as possible.,he didnt write the story or script hes making sure it sounds and looks as real as possible,Positive
 @Dentlefleur  Why would they actively villainize themselves 😂, dentlefleur  why would they actively villainize themselves ,Negative
Nico Rosberg,nico rosberg,Neutral
The Red Bulls,the red bulls,Neutral
"TU TU TU TU
MAX VERSTAPPEN","tu tu tu tu
max verstappen",Neutral
